,Ticker,Name,Sector,Industry,Headquarters,Business Summary
31,0241.HK,ALI HEALTH,Healthcare,Pharmaceutical Retailers,"Causeway Bay, Hong Kong","Alibaba Health Information Technology Limited, an investment holding company, engages in the pharmaceutical direct sales, pharmaceutical e-commerce platform, and healthcare and digital services businesses in Mainland China and Hong Kong. The company offers a range of prescription and over-the-counter drugs, nutritional supplements, medical devices, contact lenses, health food, adult and family planning products, healthcare and skincare products, and various other health-related products. It also provides medical and healthcare services, including medical checkups, nucleic acid testing, medical consultation, appointment-booking, vaccination, dental care, mental care, optometry, and nursing services, as well as traditional Chinese medicines. The company provides is products and services to business-to-customer and business-to-business customers through offline pharmacy outlets, as well as online stores, such as Tmall, Taobao, Alipay, Ele.me, AMap, DingTalk, Freshippo, and Quark. In addition, it engages in the digital tracking business; provision of network hospital, software technical services, healthcare related internet information and technical services; operation of internet hospitals, as well as Doctor U, an intelligent and one-stop platform for doctor and patient education; and asset management services. The company was formerly known as CITIC 21CN Company Limited and changed its name to Alibaba Health Information Technology Limited in September 2014. Alibaba Health Information Technology Limited was incorporated in 1998 and is based in Causeway Bay, Hong Kong."
32,0267.HK,CITIC,Industrials,Conglomerates,"Central, Hong Kong","CITIC Limited operates in financial services, advanced intelligent manufacturing, advanced materials, consumption, urbanization, resources and energy, and engineering contracting businesses worldwide. The Comprehensive Financial Services segment provides banking, investment research, securities brokerage, trust, insurance and reinsurance, investment banking, wealth and asset management, financial markets, equity investment, financing, and other integrated financial services. The Advanced Intelligent Manufacturing segment offers automotive aluminium wheels and lightweight cast components, and chassis and body systems; mining and heavy machinery, specialized robots and intelligent equipment, new energy and cement equipment, and special materials; operates industrial Internet platform; and provides engineering, procurement, and construction services. The Advanced Materials segment offers specialty steel products; chloride; explores, develops, and produces oil and magnetite; invests in coal and bauxite mining, imports and exports commodities, electrolytic aluminum, and alumina smelting; and invests in and manages power plants. The New Consumption segment provides telecommunications technology services; leases and sells satellite transponders; distributes motor and consumer products; and publishes books and digital books, as well as operates in bookstore retailing business. This segment also deals and distributes with supporting services for automotive brands; and develops agricultural science and technology, as well as engages in the brand development, manufacturing, commodity trading, agency distribution, logistics, and retail in the food and fast-moving consumer goods, healthcare, and electrical products industries. The company was formerly known as CITIC Pacific Limited and changed its name to CITIC Limited in August 2014. CITIC Limited was incorporated in 1985 and is based in Central, Hong Kong. CITIC Limited operates as a subsidiary of CITIC Group Corporation."
33,0285.HK,BYD ELECTRONIC,Technology,Electronic Components,"Shenzhen, China","BYD Electronic (International) Company Limited, an investment holding company, primarily engages in the design, manufacture, assembly, and sale of mobile handset components, modules, and other products in the People's Republic of China and internationally. The company is involved in various businesses comprising smart phones, tablet PCs, new energy vehicles, residential energy storage, smart home, game hardware, unmanned aerial vehicles, AI servers, 3D printers, Internet of Things, robots, communication equipment, health devices, and other diversified market areas. It also provides assembly services; and manufactures and sells smart products, as well as components for consumer electronics products. The company was founded in 1995 and is headquartered in Shenzhen, the People's Republic of China. BYD Electronic (International) Company Limited operates as a subsidiary of Golden Link Worldwide Limited."
34,0288.HK,WH GROUP,Consumer Defensive,Packaged Foods,"Kowloon, Hong Kong","WH Group Limited, an investment holding company, engages in the production, trading, wholesale, and retail sale of meat products in China, the United States, Mexico, and Europe. The company operates through Packaged Meats, Pork, and Others segments. It is also involved in the slaughtering, wholesale, and retail sale of fresh and frozen pork; and hog farming activities. In addition, the company engages in the slaughtering and sale of poultry; provision of logistics services; manufacture of flavoring ingredients and natural casings; manufacture and sale of packaging materials; operation of a chain of retail food stores; and sale of biological pharmaceutical materials. Further, it is involved in the livestock breeding and slaughtering; and finance and property development activities. The company was founded in 1958 and is headquartered in Kowloon, Hong Kong."
35,0291.HK,CHINA RES BEER,Consumer Defensive,Beverages - Brewers,"Wan Chai, Hong Kong","China Resources Beer (Holdings) Company Limited, an investment holding company, manufactures, distributes, and sells beer products in Mainland China. The company offers its products under the Nong Li, Snow, and Jinsha brands. The company was formerly known as China Resources Enterprise, Limited and changed its name to China Resources Beer (Holdings) Company Limited in October 2015. The company was incorporated in 1965 and is based in Wan Chai, Hong Kong. China Resources Beer (Holdings) Company Limited operates as a subsidiary of CRH (Beer) Limited."
36,0316.HK,OOIL,Industrials,Marine Shipping,"Wan Chai, Hong Kong","Orient Overseas (International) Limited, an investment holding company, provides container transport and logistics services in Asia, Europe, North and South America, Australia, and Africa. The company offers supply chain management services; and containerised shipping services in various trade lanes comprising Trans-Pacific, Trans-Atlantic, Asia/Europe, and Intra-Asia/Australasia trades. It is involved in shipping and logistics software application development; container transport, equipment owning and leasing, container depot and warehousing, portfolio investment, trucking, ship owning, terminal operating, cargo consolidation and forwarding, transportation and freight agency, liner agency, property owning, and ship management businesses; operating of vessels; and provision of corporate and trucking services. In addition, the company offers AI and blockchain digital data on network applications, and platform design services. The company was incorporated in 1986 and is based in Wan Chai, Hong Kong. Orient Overseas (International) Limited is a subsidiary of Faulkner Global Holdings Limited."
37,0322.HK,TINGYI,Consumer Defensive,Packaged Foods,"Shanghai, China","Tingyi (Cayman Islands) Holding Corp., an investment holding company, manufactures and sells instant noodles, beverages, and instant food products in the People's Republic of China. The company operates through Instant Noodles, Beverages, and Others segments. It offers ready-to-drink teas, juices, bottled water, and carbonated soft drinks; various noodles; and coffee/functional/probiotics drinks. The company also provides property rental and management, consulting, management, and support services; and manufactures and sells bakery products. The company was founded in 1992 and is headquartered in Shanghai, the People's Republic of China."
38,0386.HK,SINOPEC CORP,Energy,Oil & Gas Integrated,"Beijing, China","China Petroleum & Chemical Corporation, an energy and chemical company, engages in the oil and gas and chemical operations in Mainland China. It operates through Exploration and Production, Refining, Marketing and Distribution, Chemicals, and Corporate and Others segments. The company explores and develops oil fields; produces natural gas; produces, processes, purifies, imports, and trades in crude oil; manufactures, sells, and trades in petroleum products; owns and operates oil depots and service stations; and produces, distributes, and sells refined petroleum products, including gasoline and diesel. It also manufactures, sells, markets, and distributes petrochemicals and derivative petrochemical products, and other chemical products, such as basic organic chemicals, synthetic resins, synthetic fiber monomers and polymers, synthetic fibers, synthetic rubber, and chemical fertilizers, as well as ethylene and downstream by-products. In addition, the company explores, produces, and sells petroleum and natural gas; produces, stores, transports, and sells petrochemical and coal chemical products; produces and sells catalyst products, lubricant base oil, polyester chips and fibers, plastics, and petrochemical materials; and offers crude oil pipeline transportation and pipeline transmission services. Further, it engages in import and export of petroleum, natural gas, petroleum products, petrochemical and chemical products, and other commodities and technologies; research, development, and application of technologies and information; hydrogen energy business and related services, such as hydrogen production, storage, transportation, and sales; and battery charging and swapping, solar energy, wind energy, and other new energy business and related services. The company was incorporated in 2000 and is headquartered in Beijing, China. China Petroleum & Chemical Corporation is a subsidiary of China Petrochemical Corporation."
39,0669.HK,TECHTRONIC IND,Industrials,Tools & Accessories,"Kwai Chung, Hong Kong","Techtronic Industries Company Limited engages in designing, manufacturing, and marketing of power tools, outdoor power equipment, and floorcare and cleaning products in the North America, Europe, and internationally. The company operates through Power Equipment, and Floorcare & Cleaning segments. It offers power tools, power tool accessories, outdoor products, and outdoor product accessories under the MILWAUKEE, EMPIRE, AEG, RYOBI, HOMELITE, and HART brand names. The company also provides floorcare products and accessories under the HOOVER, DIRT DEVIL, VAX, and ORECK brands. Further, it offers oscillating multi-tool accessories, hammers, and accessories and hand tools under the IMPERIAL BLADES, STILETTO, and KANGO brand names; and research and development services. It serves Do-It-Yourself, consumer, professional, and industrial users in the home improvement, construction, and infrastructure industries. Techtronic Industries Company Limited was incorporated in 1985 and is based in Kwai Chung, Hong Kong."
40,0700.HK,TENCENT,Communication Services,Internet Content & Information,"Shenzhen, China","Tencent Holdings Limited, an investment holding company, offers value-added services (VAS), online advertising, fintech, and business services in the People's Republic of China and internationally. It operates through VAS, Online Advertising, FinTech and Business Services, and Others segments. The company's consumers business provides communication and services, such as instant messaging and social network; digital content including online games, videos, live streaming, news, music, and literature; fintech services, which includes mobile payment, wealth management, loans, and securities trading; and various tools, such as network security management, browser, navigation, application management, email, etc. Its enterprise business comprises marketing solutions, which offers digital tools including user insight, creative management, placement strategy, and digital assets management; and cloud services, such as cloud computing, big data analytics, artificial intelligence, Internet of Things, security and other technologies for financial services, education, healthcare, retail, industry, transport, energy, and radio & television application. In addition, the company operates innovation business, which includes artificial intelligences; and discover and develops enterprise and next-generation technologies for food production, energy, and water management application. Tencent Holdings Limited was formerly known as Tencent (BVI) Limited and changed its name to Tencent Holding Limited in February 2004. The company was founded in 1998 and is headquartered in Shenzhen, the People's Republic of China."
41,0762.HK,CHINA UNICOM,Communication Services,Telecom Services,"Central, Hong Kong","China Unicom (Hong Kong) Limited, an investment holding company, provides telecommunications and related value-added services in the People's Republic of China. It also provides broadband, short message and multimedia message, mobile data, data and internet application, and information communications technology services. In addition, the company offers communications technology training, technical, and internet information and value-added telecommunications services; telecommunications network construction, maintenance, and technical services; and consultancy, survey, design, engineering procurement, and contract services relating to information and construction projects. Further, it provides customer, project consultation and monitoring, project bidding agency, property, e-payment, venture capital investment, technology development and promotion, investment, auto informatization, financial, consultation, business incubator management, internet data and security, 5G communications technology, AI industry application, internet connection and related, cloud computing, data processing, and tourism and information services; advertising design, production, agency, and publication services; information and system integration services; technology development, transfer, and consulting services; and technology promotion service of intelligent transportation system's products. Additionally, the company offers technology research and development of TV and mobile video; internet of things technology services; software development services; television broadcasting and satellite transmission services; and big data, and cloud computation and infrastructure services. It also provides finance leasing; and data analysis, processing, and application services, as well as sells handsets and telecommunication equipment. The company was incorporated in 2000 and is based in Central, Hong Kong. China Unicom (Hong Kong) Limited is a subsidiary of China Unicom (BVI) Limited."
42,0857.HK,PETROCHINA,Energy,Oil & Gas Integrated,"Beijing, China","PetroChina Company Limited, together with its subsidiaries, engages in a range of petroleum related products, services, and activities in Mainland China and internationally. It operates through Oil, Gas and New Energy Resource; Refining, Chemicals and New materials; Marketing; and Natural Gas Sales segments. The Oil, Gas and New Energy Resource segment engages in the exploration, development, transportation, production, and marketing of crude oil and natural gas, as well as is involved in the new energy resource business. The Refining, Chemicals and New material segment refines crude oil and petroleum products; and produces and markets primary petrochemical products, derivative petrochemical products, and other chemical products; as well as engages in new materials business. The Marketing segment is involved in the marketing of refined and non-oil products, and trading business. The Natural Gas Sales segment engages in the transportation and sale of natural gas. The company is also involved in the exploration, development, and production of oil sands and coalbed methane; trading of crude oil and petrochemical products; investment in refining; storage, chemical engineering, storage facilities, service station, and transportation facilities and related businesses; chemical technology development; and provision of technology transfer and technical services. The company was incorporated in 1999 and is headquartered in Beijing, the People's Republic of China. PetroChina Company Limited is a subsidiary of China National Petroleum Corporation."
43,0868.HK,XINYI GLASS,Basic Materials,Building Materials,"Kwun Tong, Hong Kong","Xinyi Glass Holdings Limited, an investment holding company, produces and sells automobile, construction, float, and other glass products for commercial and industrial applications. The company operates through three segments: Float Glass, Automobile Glass, and Architectural Glass. It is also involved in the manufacturing and sale of automobile rubber and plastic components, as well as electronic glass; trading of automobile glass; and research and trading of glass. In addition, the company offers logistic and related services; supply chain services; operates a wind farm for electricity generation; and manufactures automatic machines for solar glass factory and other glass related industries, as well as holds properties and car parks. The company serves automobile glass manufacturing; wholesale and distribution; automobile repair; motor vehicle manufacturing; curtain wall engineering and installing; architectural and furniture glass manufacturing; electronic and household appliances manufacturing; and float glass wholesale and distribution companies. It sells its products in approximately 140 countries and territories, including the People's Republic of China, Hong Kong, the United States, Canada, Australia, and New Zealand, as well as countries in Asia, the Middle East, Europe, Africa, and the Americas. Xinyi Glass Holdings Limited was founded in 1988 and is headquartered in Kwun Tong, Hong Kong."
44,0881.HK,ZHONGSHENG HLDG,Consumer Cyclical,Auto & Truck Dealerships,"Dalian, China","Zhongsheng Group Holdings Limited, an investment holding company, engages in the sale and service of motor vehicles in the People's Republic of China. The company operates 4S dealerships for various automobile brands consisting of luxury automobile brands, including Mercedes-Benz, Lexus, BMW, Audi, Jaguar Land Rover, Porsche, and Volvo; and mid-to-high end automobile brands, such as Toyota, Honda, and Nissan. It also provides spare parts, automobile accessories, repair and maintenance services, detailing services, and other automobile-related products and services. The company was founded in 1998 and is headquartered in Dalian, the People's Republic of China."
45,0883.HK,CNOOC,Energy,Oil & Gas E&P,"Hong Kong, Hong Kong","CNOOC Limited, an investment holding company, engages in the exploration, development, production, and sale of crude oil and natural gas in the People's Republic of China, Canada, and internationally. The company produces offshore crude oil and natural gas primarily in Bohai, the Western South China Sea, the Eastern South China Sea, and the East China Sea in offshore China. It also holds interests in various oil and gas assets in Asia, Africa, North America, South America, Oceania, and Europe. In addition, the company is involved in the sales and trading of petroleum and natural gas; oil sands exploration, development, and production; and exploration, development, and production of unconventional natural gas resources in onshore China, as well as in shale oil and gas activities. The company was incorporated in 1999 and is based in Hong Kong. CNOOC Limited is a subsidiary of CNOOC (BVI) LTD."
46,0941.HK,CHINA MOBILE,Communication Services,Telecom Services,"Central, Hong Kong","China Mobile Limited provides telecommunications and information related services in Mainland China and Hong Kong. Its businesses primarily consist of voice, data, broadband, dedicated lines, internet data center, cloud computing, IoT, and other services in the customer, home, business, and new markets. The company offers design and consulting, communication engineering construction, planning, facilities engineering; and equipment maintenance services. In addition, it provides IT system operation, and technology support services; roaming and information services; short and multimedia messaging, content distribution network, computing network integration, data centers, cloud computing, and cloud computing services. Further, the company engages in technology development, system integration, and technical services activities, as well as involved in design and procurement of advertisements, training, and conference services, and equipment sales. Additionally, it offers digital content, E-commerce, engineering services; operation and maintenance of communication service, as well as constructs centralized park. The company was formerly known as China Mobile (Hong Kong) Limited and changed its name to China Mobile Limited in May 2006. China Mobile Limited was incorporated in 1997 and is based in Central, Hong Kong. China Mobile Limited is a subsidiary of China Mobile Hong Kong (BVI) Limited."
47,0968.HK,XINYI SOLAR,Technology,Solar,"Wuhu, China","Xinyi Solar Holdings Limited, an investment holding company, produces and sells solar glass products in the People's Republic of China, rest of Asia, North America, Europe, and internationally. It operates in two segments, Sales of Solar Glass and Solar Farm Business. The company offers ultra-clear patterned solar glasses, back glasses, and anti-reflective coating solar glasses to photovoltaic module manufacturers. It also develops, operates, and manages solar farms; generates solar power; and provides engineering, procurement, and construction services. In addition, the company offers solar power systems; manufactures silicon products; and manufactures and trades in solar glass products. Xinyi Solar Holdings Limited was founded in 2006 and is headquartered in Wuhu, the People's Republic of China."
48,0981.HK,SMIC,Technology,Semiconductors,"Shanghai, China","Semiconductor Manufacturing International Corporation, an investment holding company, engages in the manufacture, testing, and sale of integrated circuits wafer and various compound semiconductors in the United States, China, and Eurasia. The company is involved in the manufacturing and trading of semiconductor products; and research and development activities. It also offers semiconductor foundry and technology services; supporting services, such as design and IP support, photomask manufacturing, etc.; development, and technical services related to integrated circuits; marketing related services; and private education services. Semiconductor Manufacturing International Corporation was incorporated in 2000 and is headquartered in Shanghai, China."
49,0992.HK,LENOVO GROUP,Technology,Computer Hardware,"Quarry Bay, Hong Kong","Lenovo Group Limited, an investment holding company, develops, manufactures, and markets technology products and services. It operates through Intelligent Devices Group, Infrastructure Solutions Group, and Solutions and Services Group segments. The company offers commercial and consumer personal computers, as well as servers and workstations; and a family of mobile Internet devices, including tablets and smartphones. In addition, it provides laptops, monitors, accessories, smart home and collaboration solutions, augmented and virtual reality, commercial internet of things, and smart infrastructure data center solutions. Further, the company manufactures and distributes IT products, computers, computer hardware, and peripheral equipment; and offers IT, business planning, management, supply chain, finance, administration support, procurement agency, data management, intellectual property, and investment management services. Additionally, it is involved in the retail and service business for consumer electronic products and related digital services; development, ownership, licensing, and sale of communications hardware and software; and develops software and applications. Furthermore, the company distributes smartphone, tablet, server, and storage. It operates in China, the Asia Pacific, Europe, the Middle East, Africa, and the Americas. The company was founded in 1984 and is headquartered in Quarry Bay, Hong Kong."
50,1024.HK,KUAISHOU-W,Communication Services,Internet Content & Information,"Beijing, China","Kuaishou Technology, an investment holding company, provides live streaming, online marketing, and other services in the People's Republic of China. It offers Kuaishou Flagship, a short video and content based social networking platform; Kuaishou Express; Kuaishou Concept; Yitian Camera, an app to create photographs, videos, and vlogs; Kmovie, a shooting, editing, and production tool; and AcFun, a video sharing website. The company also provides entertainment, e-commerce, online games, online knowledge-sharing, and others. In addition, it develops software, hardware, and network technology; engages in investment activities; and offers programming and advertising, internet information, technology development, promotion, and other services. Kuaishou Technology was founded in 2011 and is headquartered in Beijing, China."
51,1044.HK,HENGAN INT'L,Consumer Defensive,Household & Personal Products,"Jinjiang, China","Hengan International Group Company Limited, an investment holding company, manufactures, distributes, and sells personal hygiene products in the People's Republic of China and internationally. The company offers pocket handkerchiefs, box and soft tissue papers, kitchen towels/papers, toilet rolls, first-aid products, enema, sanitary napkins, pantiliners, overnight pants, wet tissues, cotton soft face towels, and adult and baby diapers. It is also involved in the trading of various products for ladies, pregnant women, infants, and kids, as well as disposable fiber-based products; and engages in the e-commerce business. In addition, the company manufactures and distributes heat and power; manufactures, distributes, and sells gas, papers, protective equipment, medical instrument, skin care products, antiseptics, and household products; and consultancy services. Hengan International Group Company Limited was founded in 1985 and is headquartered in Jinjiang, the People's Republic of China."
52,1088.HK,CHINA SHENHUA,Energy,Thermal Coal,"Beijing, China","China Shenhua Energy Company Limited, together with its subsidiaries, engages in the production and sale of coal and power; railway, port, and shipping transportation; and coal-to-olefins businesses in the People's Republic of China and internationally. The company operates through six segments: Coal Operations, Power Operations, Railway Operations, Port Operations, Shipping Operations, and Coal Chemical Operations. The Coal Operations segment produces and sells coal from surface and underground mines. The Power Operations segment generates and sells electric power to power grid companies. This segment generates electric power through coal, thermal, water, photovoltaic, and gas. The Railway Operations segment provides railway transportation services. The Port Operations segment offers loading, transportation, and storage services. The Shipping Operations segment provides shipment transportation services. The Coal Chemical Operations segment produces and sells methanol; and polyethylene and polypropylene, as well as other by-products. China Shenhua Energy Company Limited was incorporated in 2004 and is based in Beijing, the People's Republic of China. China Shenhua Energy Company Limited is a subsidiary of CHN ENERGY Investment Group Co.,Ltd."
53,1093.HK,CSPC PHARMA,Healthcare,Drug Manufacturers - General,"Shijiazhuang, China","CSPC Pharmaceutical Group Limited, an investment holding company, engages in the research and development, manufacture, and sale of pharmaceutical products in the People's Republic of China, other Asian regions, North America, Europe, and internationally. The company operates through Finished Drugs, Bulk Products, and Functional Food and Others segments. It provides NBP soft capsules and injections for acute ischemic stroke; Oulaining capsules and injections to treat mild to moderate memory and mental impairment; Enxi to treat adult idiopathic Parkinson's disease; Duomeisu for lymphoma, multiple myeloma, ovarian and breast cancers, and other malignant tumors; Jinyouli to prevent leucopenia and infection induced by chemotherapy; and Keaili for breast cancer. The company also offers Shuluoke, Nuomoling, Weihong, and Xinweihong for various infections; Xuanning for hypertension; Encun to prevent atherosclerotic thrombosis events; Qixiao to treat upper respiratory tract infection; Linmeixin and Shuanglexin for diabetes; Gubang and Gubangjia to treat osteoporosis in postmenopausal women; and Gaoshunsong for arthritis, osteoarthritis, ankylosing spondylitis, frozen shoulder, bursuitis, tenosynovitis, acute gout, dysmenorrhea, toothache and postoperative pain, low back pain, sprain, strain, and other soft tissue injuries. In addition, it provides Debixin for various ulcer; Qimaite for acute and chronic pains; antibiotics, vitamin C, and caffeine APIs; functional food and glucose products; and healthcare services. The company has a strategic partnership with Pfizer Inc. to launch a local brand of the COVID-19 oral therapeutic treatment Nirmatrelvir/Ritonavir in China. The company was formerly known as China Pharmaceutical Group Limited and changed its name to CSPC Pharmaceutical Group Limited in March 2013. CSPC Pharmaceutical Group Limited was incorporated in 1992 and is headquartered in Shijiazhuang, the People's Republic of China."
54,1099.HK,SINOPHARM,Healthcare,Medical Distribution,"Shanghai, China","Sinopharm Group Co. Ltd., together with its subsidiaries, engages in the wholesale and retail of pharmaceutical and medical devices and healthcare products in the People's Republic of China. The company operates through four segments: Pharmaceutical Distribution, Medical Devices, Retail Pharmacy, and Other Business. The Pharmaceutical Distribution segment distributes pharmaceutical products to hospitals, other distributors, retail pharmacy stores, and clinics. This segment also offers distribution, logistics, and other value-added services for domestic and international pharmaceutical and healthcare products manufacturers, and other suppliers. The Medical Devices segment distributes medical devices. The Retail Pharmacy segment operates and franchises a network of retail drug stores. The Other Business segment engages in the production and sale of pharmaceutical products, chemical reagents, and laboratory supplies. The company also rents and manages properties; distributes medical instruments, Chinese herbal medicines, antibiotics, and biological products; and offers information technology, investment, goods and technology import and export, business consulting, health consultation, medical consulting, market information consulting and investigation, and convention and exhibition services. In addition, it manages medical project investment, consulting, and technology training activities. The company was founded in 2003 and is headquartered in Shanghai, the People's Republic of China. Sinopharm Group Co. Ltd. is a subsidiary of Sinopharm Industrial Investment Co., Ltd."
55,1177.HK,SINO BIOPHARM,Healthcare,Biotechnology,"Wan Chai, Hong Kong","Sino Biopharmaceutical Limited, an investment holding company, operates as a research and development pharmaceutical conglomerate in the People's Republic of China. It operates through three segments: Modernised Chinese Medicines and Chemical Medicines, Investment, and Others. The company offers oncology medicines, including anlotinib hydrochloride capsules under Focus V brand, penpulimab injection under Annike brand, efbemalenograstin alfa injection under Yilishu brand, pomalidomide capsules under Anyue brand, bevacizumab injection under Anbeisi brand, rituximab injection under Delituo brand, and trastuzumab for injection under Saituo brand; liver disease medications, such as magnesium isoglycyrrhizinate injection under Tianqing Ganmei brand and entecavir dispersible tablets under Runzhong brand; and respiratory system medicines comprising budesonide suspension for inhalation under Tianqing suchang brand and colistimethate sodium for injection under Tianyun brand. It also provides surgery/analgesia medicines, including flurbiprofen cataplasms under the brand Zepolas, limaprost tablets under the brand Kailitong, and recombinant human coagulation factor VIII for injection under the brand Anhengji; cardio-cerebral vascular medicines, such as irbesartan and hydrochlorothiazide tablets under the brand Yilunping and beraprost sodium tablets under the brand Kaina; and biosimilar medicines comprising adalimumab solution for injection under the brand Taibowei. In addition, the company develops oncology drugs, include benmelstobart, D-1553, TQ-B3139, and TQ-B3101; liver disease drugs, such as Lanifibranor and TQA2225/AP025; respiratory system drugs comprising TDI01, TQC2731, TCR1672, TQC3721, and TQH2722; and surgery/analgesia drugs, including PL-5, an antimicrobial peptide. Further, it is involved in the long-term investments; and healthcare and hospital business. The company was incorporated in 2000 and is headquartered in Wan Chai, Hong Kong."
56,1211.HK,BYD COMPANY,Consumer Cyclical,Auto Manufacturers,"Shenzhen, China","BYD Company Limited, together with its subsidiaries, engages in automobiles and batteries business in the People's Republic of China, Hong Kong, Macau, Taiwan, and internationally. It operates in two segments, Mobile Handset Components, Assembly Service and Other Products; and Automobiles and Related Products and Other Products. The Mobile Handset Components, Assembly Service and Other Products segment manufactures and sells mobile handset components, such as housings and electronic components; and offers assembly services. The Automobiles and Related Products and Other Products segment is involved in the manufacturing and sale of automobiles, and auto-related molds and components; rail transport and related business; and provision of automobile leasing and after sales services, automobile power batteries, lithium-ion batteries, photovoltaic, and iron battery products. The company develops urban rail transportation business. BYD Company Limited was founded in 1995 and is headquartered in Shenzhen, China."
57,1378.HK,CHINAHONGQIAO,Basic Materials,Aluminum,"Zouping, China","China Hongqiao Group Limited, an investment holding company, manufactures and sells aluminum products in the People's Republic of China and Indonesia. The company's products include molten aluminum alloys, aluminum alloy ingots, aluminum busbars, aluminum alloy processing, and alumina products. It also engages in the research, development, manufacture, trading, and sale of bauxite; production and sale of electricity; port operation; trading of carbons, iron ores, and light alloy materials; railway design and construction; and provision of financial leasing and business advisory services. China Hongqiao Group Limited was founded in 1994 and is headquartered in Zouping, the People's Republic of China. China Hongqiao Group Limited operates as a subsidiary of China Hongqiao Holdings Limited."
58,1810.HK,XIAOMI-W,Technology,Consumer Electronics,"Beijing, China","Xiaomi Corporation, an investment holding company, provides hardware and software services in Mainland China and internationally. It operates through Smartphones, IoT and Lifestyle Products, Internet Services, and Others segments. The Smartphones segment sells smartphones. The IoT and Lifestyle Products segment offers smart TVs, laptops, AI speakers, and smart routers; various IoT and other smart hardware products; and lifestyle products. The Internet Services segment provides advertising services and internet value-added services; and engages in the online game and fintech businesses. The Others segment offers hardware repair services for its products; installation services for certain IoT products; and sells materials and other products. The company engages in the wholesale and retail of smartphones and ecosystem partners' products; sale of smart hardware; development and sale of software, hardware, and television; procurement and sale of smartphones, ecosystem partners' products, and spare parts; procurement of raw materials; and operation of retail stores. It is also involved in the provision of advertising and promotion services; internet services; investment; commercial factoring activities; e-commerce business; sale of e-books; electronic payment technology services; technical services; and integrated circuit chip design services, as well as smart electric vehicle business. Xiaomi Corporation was incorporated in 2010 and is headquartered in Beijing, the People's Republic of China."
59,1876.HK,BUD APAC,Consumer Defensive,Beverages - Brewers,"Causeway Bay, Hong Kong","Budweiser Brewing Company APAC Limited, an investment holding company, produces, imports, markets, distributes, and sells beer and other non-beer beverages primarily in China, South Korea, India, Vietnam, and the other Asia Pacific regions. It offers a portfolio of beer brands, including Budweiser, Stella Artois, Corona, Hoegaarden, Cass, and Harbin. The company also offers ready-to-drink products, energy drinks, and spirits. The company was founded in 1876 and is headquartered in Causeway Bay, Hong Kong. Budweiser Brewing Company APAC Limited is a subsidiary of AB InBev Brewing Company (APAC) Limited."
60,1928.HK,SANDS CHINA LTD,Consumer Cyclical,Resorts & Casinos,"Taipa, Macau","Sands China Ltd. develops, owns, and operates integrated resorts and casinos in Macao. It owns and operates The Venetian Macao, The Londoner Macao, The Parisian Macao resort, The Plaza Macao, and The Sands Macao casino; the Cotai Expo, a convention and exhibition hall; and the Cotai Arena and the Londoner Arena entertainment venues, as well as Cotai Water Jet ferry for leisure and business travelers. It offers ferry transportation and leasing services, and pontoon leasing; gaming and other related activities; travel and tourism agency services; security services; human resources administration services; and mall management services, as well as outsourcing services, including information technology, accounting, hotel management, and marketing. The company was incorporated in 2009 and is headquartered in Taipa, Macau. Sands China Ltd. operates as a subsidiary of Las Vegas Sands Corp."
61,1929.HK,CHOW TAI FOOK,Consumer Cyclical,Luxury Goods,"Central, Hong Kong","Chow Tai Fook Jewellery Group Limited, an investment holding company, manufactures and sells jewelry products in Mainland China, Hong Kong, Macau, and internationally. The company offers gem-set, platinum and k-gold jewelry, and gold jewelry and products under the CHOW TAI FOOK, HEARTS ON FIRE, ENZO, MONOLOGUE, and SOINLOVE brands. It also distributes watches of various brands. In addition, the company is involved in the trading of diamonds; and the provision of services to franchisees. It sells its products through online platforms, as well as stores. The company was founded in 1929 and is headquartered in Central, Hong Kong. Chow Tai Fook Jewellery Group Limited is a subsidiary of Chow Tai Fook Capital Limited."
62,2015.HK,Li Auto Inc.,Consumer Cyclical,Auto Manufacturers,"Beijing, China","Li Auto Inc. operates in the energy vehicle market in the People's Republic of China. It designs, develops, manufactures, and sells premium smart electric vehicles. The company's product line comprises MPVs and sport utility vehicles. It offers sales and after sales management, and technology development and corporate management services, as well as purchases manufacturing equipment. The company offers its products through online and offline channels. The company was formerly known as Leading Ideal Inc. and changed its name to Li Auto Inc. in July 2020. Li Auto Inc. was founded in 2015 and is headquartered in Beijing, the People's Republic of China."
63,2020.HK,ANTA Sports Products Limited,Consumer Cyclical,Leisure,"Jinjiang, China","ANTA Sports Products Limited, together with its subsidiaries, engages in the research and development, designing, manufacturing, marketing and sales of professional sports products in China and Internationally. The company offers footwear, apparel, and accessories. It's product portfolio includes bags, balls, basketball shoes, running shoes, lifestyle shoes, headwear, hoodies, jacket, pants, shorts, slides, socks, and t-shirts. The company also provides logistics, property management, information technology, investment holding, trademark holding, management, and sports training services, as well as manufacture shoe sole and design products. Further, It is involved in exporting and importing activities; and retailing of sporting goods. The company sell it's products under FILA, FILA KIDS, FILA FUSION, AMER, KOLON SPORT, ANTA, DESCENTE, and ANTA KIDS brands. The company sell its products through local distributors and franchisees. ANTA Sports Products Limited was founded in 1991 and is headquartered in Jinjiang, the People's Republic of China."
